station,city,datetime,predicted_aqi
4,1,2026-01-01 15:00:00,456.30094123683836
4,1,2026-01-01 16:00:00,466.3508815291271
4,1,2026-01-01 17:00:00,466.3508815291271
4,1,2026-01-01 18:00:00,466.3508815291271
4,1,2026-01-01 19:00:00,466.3508815291271
4,1,2026-01-01 20:00:00,466.3508815291271
4,1,2026-01-01 21:00:00,466.25088152912707
4,1,2026-01-01 22:00:00,466.25088152912707
4,1,2026-01-01 23:00:00,466.25088152912707
5,2,2026-01-01 00:00:00,479.54765796555694
5,2,2026-01-01 01:00:00,479.54765796555694
5,2,2026-01-01 02:00:00,479.54765796555694
5,2,2026-01-01 03:00:00,479.54765796555694
5,2,2026-01-01 04:00:00,479.54765796555694
5,2,2026-01-01 05:00:00,479.54765796555694
5,2,2026-01-01 06:00:00,479.54765796555694
5,2,2026-01-01 07:00:00,479.54765796555694
5,2,2026-01-01 08:00:00,479.54765796555694
5,2,2026-01-01 09:00:00,479.54765796555694
5,2,2026-01-01 10:00:00,462.1335446602349
5,2,2026-01-01 11:00:00,462.1335446602349
5,2,2026-01-01 12:00:00,462.1335446602349
5,2,2026-01-01 13:00:00,462.1335446602349
5,2,2026-01-01 14:00:00,462.1335446602349
5,2,2026-01-01 15:00:00,462.1335446602349
5,2,2026-01-01 16:00:00,476.6621754444974
5,2,2026-01-01 17:00:00,476.6621754444974
5,2,2026-01-01 18:00:00,476.6621754444974
5,2,2026-01-01 19:00:00,476.6621754444974
5,2,2026-01-01 20:00:00,476.6621754444974
5,2,2026-01-01 21:00:00,477.2721754444974
5,2,2026-01-01 22:00:00,477.2721754444974
5,2,2026-01-01 23:00:00,477.2721754444974
6,2,2026-01-01 00:00:00,483.2118472084068
6,2,2026-01-01 01:00:00,483.2118472084068
6,2,2026-01-01 02:00:00,483.2118472084068
6,2,2026-01-01 03:00:00,483.2118472084068
6,2,2026-01-01 04:00:00,483.2118472084068
6,2,2026-01-01 05:00:00,483.2118472084068
6,2,2026-01-01 06:00:00,483.2118472084068
6,2,2026-01-01 07:00:00,483.2118472084068
6,2,2026-01-01 08:00:00,483.2118472084068
6,2,2026-01-01 09:00:00,483.2118472084068
6,2,2026-01-01 10:00:00,457.2367985042139
6,2,2026-01-01 11:00:00,457.2367985042139
6,2,2026-01-01 12:00:00,457.2367985042139
6,2,2026-01-01 13:00:00,457.253721581137
6,2,2026-01-01 14:00:00,457.253721581137
6,2,2026-01-01 15:00:00,457.253721581137
6,2,2026-01-01 16:00:00,471.52241227723783
6,2,2026-01-01 17:00:00,471.52241227723783
6,2,2026-01-01 18:00:00,471.52241227723783
6,2,2026-01-01 19:00:00,471.52241227723783
6,2,2026-01-01 20:00:00,471.52241227723783
6,2,2026-01-01 21:00:00,472.20741227723784
6,2,2026-01-01 22:00:00,472.20741227723784
6,2,2026-01-01 23:00:00,472.20741227723784
7,4,2026-01-01 00:00:00,452.2215856045524
7,4,2026-01-01 01:00:00,452.2215856045524
7,4,2026-01-01 02:00:00,452.2215856045524
7,4,2026-01-01 03:00:00,452.2215856045524
7,4,2026-01-01 04:00:00,452.2215856045524
7,4,2026-01-01 05:00:00,452.2215856045524
7,4,2026-01-01 06:00:00,452.2215856045524
7,4,2026-01-01 07:00:00,452.2215856045524
7,4,2026-01-01 08:00:00,452.2215856045524
7,4,2026-01-01 09:00:00,452.2215856045524
7,4,2026-01-01 10:00:00,438.26311576773156
7,4,2026-01-01 11:00:00,438.26311576773156
7,4,2026-01-01 12:00:00,438.26311576773156
7,4,2026-01-01 13:00:00,438.38311576773157
7,4,2026-01-01 14:00:00,438.38311576773157
7,4,2026-01-01 15:00:00,438.38311576773157
7,4,2026-01-01 16:00:00,441.4820237654134
7,4,2026-01-01 17:00:00,441.4820237654134
7,4,2026-01-01 18:00:00,441.4820237654134
7,4,2026-01-01 19:00:00,441.4820237654134
7,4,2026-01-01 20:00:00,441.4820237654134
7,4,2026-01-01 21:00:00,445.54879814990124
7,4,2026-01-01 22:00:00,445.54879814990124
7,4,2026-01-01 23:00:00,445.54879814990124
8,3,2026-01-01 00:00:00,463.90627985981615
8,3,2026-01-01 01:00:00,463.90627985981615
8,3,2026-01-01 02:00:00,463.90627985981615
8,3,2026-01-01 03:00:00,463.90627985981615
8,3,2026-01-01 04:00:00,463.90627985981615
8,3,2026-01-01 05:00:00,463.90627985981615
